@RELATION POSIT

@attribute classification {Anti-extremist, Pro-extremist, neutral}
@attribute number_of_exclam numeric
@attribute number_of_dollar numeric
@attribute number_of_ast numeric
@attribute number_of_dot numeric
@attribute number_of_0 numeric
@attribute number_of_1 numeric
@attribute number_of_2 numeric
@attribute number_of_3 numeric
@attribute number_of_4 numeric
@attribute number_of_5 numeric
@attribute number_of_6 numeric
@attribute number_of_7 numeric
@attribute number_of_8 numeric
@attribute number_of_9 numeric
@attribute number_of_quest numeric
@attribute number_of_a numeric
@attribute number_of_b numeric
@attribute number_of_c numeric
@attribute number_of_d numeric
@attribute number_of_e numeric
@attribute number_of_f numeric
@attribute number_of_g numeric
@attribute number_of_h numeric
@attribute number_of_i numeric
@attribute number_of_j numeric
@attribute number_of_k numeric
@attribute number_of_l numeric
@attribute number_of_m numeric
@attribute number_of_n numeric
@attribute number_of_o numeric
@attribute number_of_p numeric
@attribute number_of_q numeric
@attribute number_of_r numeric
@attribute number_of_s numeric
@attribute number_of_t numeric
@attribute number_of_u numeric
@attribute number_of_v numeric
@attribute number_of_w numeric
@attribute number_of_x numeric
@attribute number_of_y numeric
@attribute number_of_z numeric
@attribute total_unique_chars numeric
@attribute total_chars numeric
@attribute specials numeric
@attribute total_words numeric
@attribute total_unique_words numeric
@attribute ttr numeric
@attribute number_of_sentences numeric
@attribute asl numeric
@attribute number_of_chars numeric
@attribute awl numeric
@attribute noun_types numeric
@attribute verb_types numeric
@attribute adjective_types numeric
@attribute preposition_types numeric
@attribute possessive_types numeric
@attribute personal_types numeric
@attribute determiner_types numeric
@attribute adverb_types numeric
@attribute particle_types numeric
@attribute interjection_types numeric
@attribute verbs numeric
@attribute nouns numeric
@attribute preposition numeric
@attribute possessive numeric
@attribute personal numeric
@attribute particles numeric
@attribute interjections numeric
@attribute determiners numeric
@attribute adverbs numeric
@attribute adjectives numeric

@data
Anti-extremist,0,0,30,1,14,47,2,44,2,19,1,9,18,21,6,174,38,71,83,209,49,32,79,149,15,18,108,48,165,167,50,0,132,127,144,44,20,35,4,40,0,3129,37,3,423,297,0.702128,11,38.4545,3121,7.37825,183,42,17,13,8,8,6,10,1,0,90,476,60,28,28,2,0,34,26,38
Anti-extremist,0,0,7,1,1,11,4,0,5,0,3,7,2,1,4,117,35,62,38,160,26,13,55,96,7,15,60,35,102,102,31,0,83,86,93,22,21,24,3,22,1,2582,36,3,254,147,0.57874,7,36.2857,2582,10.1654,116,3,4,7,3,3,5,3,0,0,6,380,42,6,6,0,0,20,6,14
Anti-extremist,0,0,7,1,1,11,4,0,5,0,3,2,8,1,4,117,32,64,39,161,29,13,52,96,7,15,61,36,102,100,30,0,84,84,91,22,21,24,3,22,1,2555,36,3,253,147,0.581028,8,31.625,2555,10.0988,116,3,4,8,3,3,5,3,0,0,6,378,44,6,6,0,0,20,6,12
Anti-extremist,0,0,7,1,1,11,4,0,5,0,3,7,2,1,4,119,36,67,40,170,27,15,55,98,7,16,62,37,104,105,32,0,90,87,93,24,21,25,3,21,1,2613,36,3,261,147,0.563218,7,37.2857,2613,10.0115,117,2,4,7,3,3,5,3,0,0,4,388,46,6,6,0,0,22,6,16
Anti-extremist,0,0,3,1,14,6,2,3,2,4,2,0,3,1,2,208,58,82,77,244,41,45,75,176,10,38,105,46,179,177,55,1,138,166,166,60,36,41,3,43,1,4070,38,3,418,282,0.674641,8,52.25,4056,9.70335,186,34,20,17,9,9,6,6,3,0,72,520,94,22,22,6,0,18,14,46
Anti-extremist,0,25,1,31,177,32,3,20,7,3,16,7,7,4,16,1591,280,662,815,2302,440,411,835,1584,78,161,933,520,1388,1664,424,167,1324,1273,1739,686,204,302,31,264,46,28675,40,4,3806,1254,0.32948,116,32.8103,28654,7.52864,214,86,46,25,11,11,12,21,1,0,248,700,190,48,48,2,0,162,76,134
Anti-extremist,0,27,33,151,2,27,3,3,19,7,4,12,6,4,15,1388,262,573,720,1881,378,329,717,1431,56,149,889,438,1189,1488,386,163,1121,1147,1538,570,196,287,32,242,42,25511,40,4,3334,1157,0.347031,102,32.6863,25484,7.64367,208,98,34,22,10,10,12,20,2,0,272,714,198,70,70,4,0,144,52,108
Anti-extremist,0,25,1,37,199,32,3,13,9,5,11,10,14,9,10,1602,338,588,744,2154,390,350,920,1501,61,176,908,526,1393,1755,417,183,1273,1214,1753,645,210,382,20,333,41,28551,40,4,3881,1141,0.293996,160,24.2563,28530,7.3512,156,87,31,22,14,14,10,20,2,0,348,594,156,188,188,6,0,88,68,92
Anti-extremist,0,32,1,35,158,28,3,3,13,10,4,8,7,8,10,1331,259,524,664,1727,337,323,681,1311,55,152,793,406,1114,1363,359,150,1070,1057,1345,546,183,264,17,230,37,23770,40,4,3105,1116,0.35942,95,32.6842,23737,7.64477,251,90,27,24,16,16,8,15,0,0,228,830,204,114,114,0,0,126,48,76
Anti-extremist,0,31,36,168,2,40,3,45,10,5,7,9,6,5,47,1481,274,554,692,1905,355,353,777,1364,62,165,865,435,1239,1425,385,116,1134,1124,1475,562,195,259,19,270,43,25637,40,4,3406,1213,0.356136,115,29.6174,25616,7.52085,203,89,34,29,11,11,9,28,4,0,254,620,190,114,114,10,0,132,76,92
Anti-extremist,0,30,1,133,35,28,14,4,4,12,12,10,8,5,11,1158,217,480,609,1585,319,289,596,1163,53,150,722,374,1019,1276,344,119,956,940,1268,487,166,225,15,202,39,22067,40,4,2788,1013,0.363343,96,29.0417,22046,7.90746,241,101,26,22,13,13,10,18,0,1,258,820,196,52,52,0,2,156,50,72
Anti-extremist,0,25,1,40,146,28,14,4,4,7,4,11,12,9,13,1348,274,558,654,1770,353,323,684,1339,58,157,780,398,1143,1401,361,132,1091,1061,1422,540,194,254,26,215,38,24279,40,4,3112,1111,0.357005,105,29.6381,24258,7.79499,259,86,41,26,11,11,7,16,1,0,262,788,206,44,44,2,0,158,38,120
Anti-extremist,0,34,1,42,193,32,3,18,11,7,8,7,8,6,21,1621,269,703,809,2153,387,410,864,1615,56,166,909,468,1446,1637,392,185,1279,1234,1741,649,252,331,27,298,49,28492,40,4,3761,1261,0.335283,126,29.8492,28459,7.56687,231,79,32,26,13,13,7,15,0,0,276,760,172,74,74,0,0,140,44,92
Anti-extremist,0,28,1,48,210,34,3,20,19,10,16,8,9,9,16,2211,376,937,1163,3088,680,508,1525,2235,72,159,1292,688,1856,2330,604,202,1781,1768,2517,933,316,437,49,445,55,38659,40,4,5568,1659,0.297953,163,34.1595,38638,6.9393,265,63,53,19,13,13,11,20,0,0,192,724,242,46,46,0,0,256,64,132
Anti-extremist,0,37,1,34,144,31,3,3,20,12,4,10,7,4,15,1334,249,553,636,1696,345,320,693,1298,56,143,766,446,1109,1404,358,135,1085,1050,1366,517,173,232,19,234,38,23934,40,4,3059,1123,0.367113,105,29.1333,23905,7.81465,264,90,29,26,9,9,7,15,2,0,212,852,204,60,60,4,0,134,38,84
Anti-extremist,0,48,1,30,136,30,3,13,4,23,9,10,7,4,13,1247,241,521,633,1645,353,302,643,1240,67,141,766,378,1083,1312,340,127,1017,981,1264,484,179,234,17,225,38,22986,40,4,2939,1065,0.362368,95,30.9368,22959,7.81184,251,96,35,29,9,9,7,16,1,0,234,838,210,44,44,2,0,136,44,94
Anti-extremist,0,25,1,34,143,30,3,23,4,7,3,9,10,9,21,1361,245,596,665,1779,359,315,696,1342,66,164,811,420,1145,1385,378,116,1099,1058,1391,516,205,249,21,224,39,24233,40,4,3133,1131,0.360996,103,30.4175,24194,7.72231,252,83,37,19,10,10,9,22,0,0,232,834,206,44,44,0,0,154,50,98
Anti-extremist,0,31,1,29,140,31,3,16,4,9,5,7,7,5,13,1253,223,486,639,1674,341,295,658,1214,56,162,736,394,1075,1320,345,122,1008,983,1354,480,166,224,15,203,39,22746,40,4,2904,1043,0.35916,96,30.25,22725,7.82541,259,93,29,23,9,9,11,17,0,0,232,872,180,36,36,0,0,168,48,80
Anti-extremist,0,30,1,32,174,28,3,3,13,9,3,7,6,4,10,1422,285,657,722,1937,380,350,763,1457,53,151,886,433,1215,1544,380,169,1170,1166,1587,627,221,307,22,267,37,25979,40,4,3403,1147,0.337056,109,31.2202,25958,7.62798,206,93,41,22,13,13,9,19,2,0,250,780,202,76,76,4,0,156,44,102
Anti-extremist,0,32,1,33,143,29,3,3,14,8,4,8,7,4,12,1270,235,528,665,1735,341,321,694,1227,54,146,747,401,1092,1329,332,131,1068,1051,1349,524,187,262,16,228,37,23300,40,4,3049,1088,0.356838,102,29.8922,23279,7.63496,227,95,42,27,13,13,7,29,2,0,256,734,192,108,108,6,0,126,80,114
Anti-extremist,0,24,1,31,144,26,3,13,8,5,4,7,7,5,10,1327,249,527,658,1768,325,323,682,1322,55,158,783,403,1099,1370,371,146,1114,1090,1381,534,194,248,26,246,43,23832,40,4,3082,1104,0.358209,102,30.2157,23799,7.72193,251,95,34,23,11,11,8,22,0,0,258,810,182,84,84,0,0,150,52,88
Anti-extremist,0,0,3,1,14,6,2,3,2,4,2,0,3,1,2,208,58,82,77,244,41,45,75,176,10,38,105,46,179,177,55,1,138,166,166,60,36,41,3,43,1,4072,38,3,418,282,0.674641,8,52.25,4058,9.70813,186,34,20,17,9,9,6,6,3,0,72,520,94,22,22,6,0,18,14,46
Anti-extremist,0,23,1,120,27,24,3,3,12,6,3,7,6,4,10,1067,197,437,544,1401,282,264,542,1067,52,130,660,332,909,1123,291,114,869,845,1115,441,148,200,14,187,37,19245,40,4,2478,943,0.380549,85,29.1529,19222,7.75706,243,103,43,22,12,12,9,26,2,0,270,738,196,56,56,4,0,156,72,104
Anti-extremist,0,23,1,120,28,25,3,3,12,6,3,7,7,5,10,1068,196,436,547,1404,286,261,543,1068,53,130,658,331,909,1125,293,114,871,848,1118,446,147,200,14,185,37,19337,40,4,2483,943,0.379783,85,29.2118,19312,7.77769,213,87,36,24,16,16,9,32,1,0,266,692,196,70,70,6,0,108,88,100
Anti-extremist,0,25,1,29,145,29,3,15,4,9,4,7,6,5,10,1377,270,582,735,1849,388,309,777,1365,56,154,833,403,1168,1464,373,165,1157,1082,1481,593,190,258,20,275,39,25289,40,4,3289,1146,0.348434,98,33.5612,25256,7.67893,226,78,29,22,9,9,11,22,2,0,226,724,202,64,64,4,0,214,68,76
Anti-extremist,0,56,11,38,155,36,3,3,26,12,7,10,13,9,25,1420,239,582,718,1889,372,326,688,1376,56,150,828,492,1196,1404,373,123,1168,1088,1425,559,179,270,24,262,38,25127,40,4,3266,1146,0.350888,101,32.3366,25106,7.68708,214,76,52,24,6,6,7,22,1,0,224,712,234,40,40,4,0,108,56,180
Anti-extremist,0,27,1,31,155,32,3,21,4,9,3,8,7,6,20,1289,263,560,663,1797,367,333,663,1334,55,137,829,411,1130,1420,357,126,1085,1073,1405,537,188,231,24,224,42,24088,40,4,3114,1104,0.354528,99,31.4545,24067,7.72864,253,91,37,21,9,9,11,13,0,0,240,806,170,36,36,0,0,166,46,126
Anti-extremist,0,28,1,34,153,33,3,24,4,14,6,8,7,7,23,1361,249,565,669,1746,359,317,651,1277,56,160,797,408,1128,1414,365,127,1106,1068,1385,544,178,262,19,228,39,24360,40,4,3131,1131,0.361226,109,28.7248,24327,7.76972,259,74,29,21,13,13,8,12,2,0,202,850,200,74,74,6,0,96,28,90
Anti-extremist,0,30,33,139,2,27,3,16,4,9,7,7,9,4,13,1222,232,505,603,1629,333,299,602,1246,53,151,744,368,1054,1301,346,122,1022,987,1313,487,172,229,19,208,38,22758,40,4,2861,1058,0.369801,98,29.1939,22737,7.94722,254,104,35,24,11,11,8,19,1,0,254,848,182,46,46,6,0,140,58,88
Anti-extremist,0,51,1,35,172,33,3,18,12,5,4,8,7,6,14,1637,311,658,831,2243,419,377,879,1557,66,164,942,461,1352,1702,429,216,1291,1305,1738,730,209,311,23,282,45,28635,40,4,3818,1270,0.332635,119,32.084,28614,7.4945,200,94,46,23,11,11,9,26,4,0,276,650,206,56,56,8,0,168,60,120
Anti-extremist,0,25,1,32,138,27,3,3,13,9,6,7,7,4,10,1354,231,552,646,1728,346,312,668,1308,57,139,784,381,1140,1294,342,139,1031,1035,1385,546,183,245,15,217,41,23452,40,4,2995,1090,0.36394,95,31.5263,23431,7.82337,276,87,43,23,7,7,9,15,0,0,234,860,208,24,24,0,0,152,32,118
Anti-extremist,0,35,38,2,226,33,3,3,49,10,4,8,8,5,48,1720,331,665,934,2380,425,409,909,1698,74,173,998,538,1475,1849,467,214,1362,1380,1844,739,246,350,33,297,44,31055,40,4,4136,1357,0.328095,127,32.5669,31034,7.50338,235,85,36,22,11,11,11,12,2,0,238,740,150,90,90,4,0,140,26,92
Anti-extremist,0,27,1,31,146,27,3,3,13,11,3,12,6,4,11,1349,232,564,662,1820,363,360,713,1405,70,153,823,420,1128,1388,339,146,1125,1105,1469,587,190,257,28,234,39,24820,40,4,3185,1124,0.352904,96,33.1771,24799,7.78619,235,93,44,26,6,6,9,28,1,0,216,808,200,32,32,6,0,182,68,120
Anti-extremist,0,26,1,31,150,29,3,22,4,9,6,7,6,5,17,1307,233,536,654,1705,352,310,636,1280,53,156,780,386,1104,1323,346,135,1056,1056,1353,550,166,247,27,223,38,23060,40,4,3014,1108,0.367618,96,31.3958,23039,7.64399,274,96,29,25,13,13,7,12,1,0,266,830,190,58,58,2,0,100,28,76
Anti-extremist,0,30,31,143,2,29,3,3,15,9,4,8,8,4,12,1301,234,549,655,1756,350,333,695,1289,55,150,780,410,1094,1313,346,114,1064,1044,1347,496,193,249,22,245,37,23597,40,4,3034,1096,0.361239,100,30.34,23576,7.7706,265,98,33,26,11,11,8,20,0,0,268,810,212,62,62,0,0,144,50,98
Anti-extremist,0,28,1,28,147,29,3,3,14,8,5,9,7,4,12,1364,262,588,679,1820,360,306,698,1325,53,154,825,420,1156,1458,372,147,1128,1102,1451,558,183,255,24,242,37,24744,40,4,3192,1156,0.362155,102,31.2941,24723,7.7453,256,89,50,23,13,13,7,17,0,0,230,824,184,56,56,0,0,120,44,134
Anti-extremist,0,28,1,33,163,29,3,20,4,9,4,7,7,4,17,1362,254,625,697,1870,370,339,689,1371,55,160,837,425,1242,1509,427,130,1170,1093,1460,543,200,259,16,210,44,25413,40,4,3226,1146,0.355239,116,27.8103,25392,7.87105,266,86,30,22,8,8,9,17,1,0,238,862,182,42,42,2,0,126,42,98
Anti-extremist,0,40,33,165,31,3,3,3,18,11,4,9,6,6,16,1607,285,649,809,2071,409,386,788,1490,61,159,915,514,1298,1643,444,162,1278,1221,1632,623,199,287,30,262,39,27735,40,4,3622,1284,0.3545,110,32.9273,27708,7.64992,229,87,46,24,10,10,8,24,2,0,230,752,170,64,64,4,0,132,58,126
Anti-extremist,0,27,1,34,140,37,3,16,4,9,4,9,12,11,11,1317,260,519,661,1761,332,306,662,1265,74,162,774,422,1107,1360,369,129,1038,1041,1351,542,184,241,20,228,39,23624,40,4,3042,1125,0.369822,100,30.42,23595,7.75641,266,88,40,25,10,10,7,20,4,0,244,842,174,54,54,10,0,118,52,112
Anti-extremist,0,27,1,33,139,27,3,13,8,5,7,7,9,5,11,1274,231,531,615,1658,330,279,622,1265,53,144,775,371,1108,1331,348,125,999,982,1296,504,167,245,20,215,37,22754,40,4,2900,1061,0.365862,96,30.2083,22733,7.83897,256,98,30,26,11,11,8,21,1,1,264,866,192,46,46,6,2,120,58,78
Anti-extremist,0,41,1,42,152,38,3,3,23,11,4,10,8,18,16,1400,248,555,655,1809,352,334,675,1354,81,154,821,428,1178,1409,404,130,1113,1054,1405,547,198,264,17,238,38,24637,40,4,3188,1174,0.368256,102,31.2549,24610,7.71957,263,92,49,24,8,8,10,20,1,0,264,762,194,30,30,2,0,130,42,136
Anti-extremist,0,33,33,152,32,3,3,14,4,7,5,7,8,5,10,1401,248,581,709,1852,371,333,729,1359,65,148,795,418,1111,1398,359,157,1129,1120,1502,587,206,289,30,245,42,24902,40,4,3198,1107,0.346154,106,30.1698,24881,7.78018,237,96,27,21,12,12,7,18,2,0,256,800,208,84,84,8,0,108,50,76
Anti-extremist,0,36,1,140,41,31,3,19,4,12,5,8,7,12,29,1236,234,513,659,1659,328,294,632,1210,62,153,759,396,1034,1301,350,133,1045,978,1298,523,168,243,16,217,38,23045,40,4,2912,1052,0.361264,96,30.3333,23008,7.9011,254,95,34,20,10,10,6,16,1,0,236,836,156,60,60,2,0,114,44,106
Anti-extremist,0,49,148,51,54,3,17,4,12,5,4,8,16,23,13,1304,240,498,654,1742,349,328,640,1269,57,143,758,407,1142,1291,370,114,1012,1015,1335,498,182,237,16,212,39,23163,40,4,2989,1106,0.370023,103,29.0194,23118,7.73436,276,83,33,22,9,9,8,9,0,0,210,886,158,34,34,0,0,140,24,76
Anti-extremist,0,28,138,39,2,31,3,27,4,8,5,8,10,6,17,1287,236,503,640,1665,333,312,628,1261,57,157,775,380,1066,1313,331,118,1047,964,1334,484,171,242,19,218,41,22979,40,4,2919,1088,0.37273,103,28.3398,22954,7.86365,287,92,26,24,8,8,8,18,1,0,238,876,190,38,38,2,0,116,46,80
Anti-extremist,0,25,1,31,141,26,3,29,4,7,5,10,6,4,23,1259,233,489,632,1614,321,311,676,1242,54,154,747,400,1035,1261,317,121,975,971,1310,494,172,245,15,229,37,22637,40,4,2936,1037,0.353202,98,29.9592,22616,7.703,238,109,25,23,19,19,9,17,2,0,300,742,188,126,126,4,0,108,42,64
Anti-extremist,0,28,1,29,165,25,20,4,4,8,7,7,6,5,18,1631,310,628,838,2184,403,379,813,1545,66,185,971,482,1389,1666,420,175,1329,1253,1694,645,213,333,24,262,42,28632,40,4,3712,1286,0.346444,105,35.3524,28611,7.7077,248,87,49,21,11,11,11,15,3,0,248,752,166,54,54,10,0,156,40,136
Anti-extremist,0,27,1,32,183,26,15,4,4,9,3,8,6,5,13,1475,304,654,800,2102,431,353,907,1527,64,161,881,458,1296,1601,444,193,1279,1249,1695,650,197,276,25,294,38,27539,40,4,3622,1230,0.339591,128,28.2969,27518,7.59746,210,88,29,22,15,15,12,26,2,0,264,748,176,110,110,4,0,134,70,70
Anti-extremist,0,25,1,32,135,27,3,12,4,11,3,7,6,4,11,1257,239,491,632,1590,325,303,619,1201,54,139,764,386,1026,1268,324,128,995,943,1238,505,172,228,17,224,37,22113,40,4,2838,1046,0.368569,97,29.2577,22080,7.78013,253,87,33,23,10,10,6,21,0,0,250,830,188,64,64,0,0,130,60,100
Anti-extremist,0,26,1,34,147,35,3,15,4,15,6,10,10,7,13,1409,261,630,709,1796,349,332,739,1362,57,139,836,414,1178,1501,403,143,1129,1071,1440,540,188,242,18,222,39,24917,40,4,3221,1160,0.360137,101,31.8911,24894,7.72866,248,77,43,21,8,8,9,21,2,0,226,826,184,72,72,4,0,128,44,124
Anti-extremist,0,29,1,28,138,27,3,3,14,11,3,8,7,4,13,1224,220,510,603,1656,317,304,604,1229,65,147,749,393,1042,1281,316,120,1011,1046,1264,526,158,230,30,213,37,22719,40,4,2881,1045,0.362721,97,29.701,22686,7.87435,266,86,24,24,7,7,9,18,1,0,240,868,172,30,30,2,0,144,52,78
Anti-extremist,0,29,34,180,2,29,3,42,4,7,4,7,7,4,40,1686,293,805,807,2394,446,415,890,1653,59,164,969,505,1539,1697,470,132,1387,1354,1861,619,222,356,28,329,43,29896,40,4,4011,1280,0.319122,112,35.8125,29875,7.44827,233,99,32,20,13,13,9,22,2,0,292,764,186,56,56,4,0,160,62,86
Anti-extremist,0,34,1,43,176,38,3,3,23,10,4,13,9,10,21,1519,307,602,820,2179,400,374,794,1447,66,165,916,487,1291,1630,433,177,1256,1245,1671,630,214,286,43,256,42,27662,40,4,3620,1289,0.356077,119,30.4202,27637,7.63453,218,86,35,20,11,11,11,16,1,0,242,688,160,102,102,4,0,162,52,98
Anti-extremist,0,35,1,37,157,37,3,16,4,11,9,17,10,14,10,1440,249,556,698,1897,359,376,733,1375,65,154,827,458,1161,1539,425,163,1181,1127,1505,601,202,280,33,252,41,25790,40,4,3343,1174,0.351182,107,31.243,25769,7.70835,214,97,35,29,9,9,10,22,1,0,264,714,190,52,52,2,0,154,68,92
Anti-extremist,0,36,1,45,160,31,3,31,14,5,9,16,12,8,24,1474,279,588,790,2037,400,346,748,1393,60,156,876,459,1332,1578,420,138,1221,1159,1602,594,196,265,19,238,40,26811,40,4,3485,1236,0.354663,114,30.5702,26790,7.68723,254,86,39,22,8,8,13,13,2,0,218,768,200,40,40,4,0,156,38,110
Anti-extremist,0,23,1,120,27,24,3,3,12,6,3,7,6,4,10,1070,196,437,543,1402,283,264,543,1071,53,131,664,330,909,1122,292,114,868,846,1119,442,148,200,14,186,37,19249,40,4,2483,943,0.379783,85,29.2118,19222,7.74144,227,109,26,21,13,13,9,26,1,0,298,736,194,68,68,2,0,180,80,82
Anti-extremist,0,32,1,38,172,38,3,34,4,7,7,8,7,5,22,1544,303,630,713,2028,397,375,803,1500,67,165,903,450,1282,1602,420,149,1234,1187,1630,589,226,305,30,269,46,26877,40,4,3571,1290,0.361243,121,29.5124,26856,7.52058,270,101,47,22,9,9,9,15,3,0,274,794,170,36,36,6,0,142,36,114
Anti-extremist,0,26,1,43,145,42,3,3,29,8,3,11,13,16,25,1356,249,574,662,1788,356,331,682,1327,64,144,790,424,1153,1383,351,119,1052,1077,1408,525,179,251,24,232,37,24231,40,4,3116,1107,0.355263,99,31.4747,24210,7.76958,250,78,28,20,12,12,8,9,0,0,220,770,198,60,60,0,0,136,24,70
Anti-extremist,0,52,1,141,44,34,23,4,4,13,6,10,8,8,18,1259,247,512,671,1697,321,302,657,1220,60,151,749,396,1096,1337,331,122,1029,993,1306,496,185,248,16,215,38,22843,40,4,2976,1060,0.356183,99,30.0606,22822,7.66868,248,90,26,23,11,11,7,21,0,0,258,804,190,44,44,0,0,144,52,76
Anti-extremist,0,59,14,44,170,33,3,32,4,13,14,8,15,10,26,1532,264,600,804,2072,416,344,777,1420,64,172,879,486,1342,1709,457,144,1241,1232,1655,604,206,271,22,253,42,27381,40,4,3596,1283,0.356785,120,29.9667,27360,7.60845,248,87,39,27,7,7,11,12,2,0,236,800,180,48,48,4,0,144,36,98
Anti-extremist,0,34,1,43,154,37,3,23,15,5,6,10,10,12,19,1357,254,548,677,1880,372,343,683,1404,63,154,826,416,1168,1425,426,122,1115,1132,1442,567,196,292,32,233,40,25086,40,4,3305,1148,0.347352,106,31.1792,25065,7.58396,209,82,40,23,8,8,9,25,1,0,246,642,226,62,62,4,0,156,70,132
Anti-extremist,0,34,52,159,2,33,3,3,36,14,9,11,11,9,28,1479,269,551,750,2076,413,346,744,1418,57,141,868,474,1347,1556,396,121,1176,1214,1656,544,238,277,19,251,40,26779,40,4,3500,1196,0.341714,107,32.7103,26752,7.64343,204,85,22,21,9,9,9,18,1,1,254,722,258,28,28,2,8,164,58,64
Anti-extremist,0,24,1,30,151,27,3,15,4,10,6,9,7,5,12,1372,247,560,738,1810,342,327,711,1336,56,154,818,376,1201,1442,398,140,1080,1102,1455,555,176,240,37,212,45,24438,40,4,3182,1123,0.352923,103,30.8932,24405,7.6697,248,85,22,24,11,11,9,12,3,0,284,886,148,50,50,6,0,140,48,56
Anti-extremist,0,25,1,32,158,25,3,3,13,8,5,7,6,6,11,1517,259,614,865,2023,383,348,886,1430,62,146,870,451,1274,1655,438,203,1256,1212,1598,648,203,283,41,283,40,27285,40,4,3578,1221,0.341252,102,35.0784,27264,7.6199,205,88,31,24,12,12,10,22,1,0,274,702,200,50,50,2,0,192,58,76
Anti-extremist,0,34,30,156,28,3,13,4,12,5,5,10,10,5,11,1373,308,586,675,1904,349,327,721,1360,58,180,834,425,1203,1479,368,159,1189,1146,1482,586,196,311,23,252,42,25344,40,4,3321,1164,0.350497,114,29.1316,25323,7.62511,225,86,40,22,12,12,13,25,4,1,236,736,170,68,68,16,2,136,64,104
Anti-extremist,0,32,132,32,2,28,3,17,4,10,5,10,6,5,16,1165,225,478,600,1540,305,293,581,1163,54,137,710,366,993,1237,325,116,948,943,1247,470,171,229,21,200,37,21936,40,4,2751,1022,0.371501,95,28.9579,21897,7.95965,256,95,28,23,13,13,6,21,0,0,242,842,184,54,54,0,0,138,58,84
Anti-extremist,0,28,1,34,144,28,3,13,8,3,6,8,7,6,12,1267,215,527,646,1777,389,301,704,1337,61,151,808,435,1108,1388,349,142,1086,1045,1377,539,188,258,22,235,38,23898,40,4,3110,1116,0.358842,101,30.7921,23877,7.67749,260,81,28,27,14,14,6,16,3,0,204,848,228,88,88,8,0,124,34,86
Anti-extremist,0,41,41,179,36,3,27,4,4,11,8,10,8,5,30,1574,318,662,803,2117,401,362,762,1508,66,175,939,486,1407,1683,463,147,1307,1238,1629,600,212,313,20,250,42,28039,40,4,3668,1343,0.36614,128,28.6562,28014,7.6374,273,81,42,26,11,11,9,16,3,0,190,840,186,50,50,6,0,134,36,124
Anti-extremist,0,25,1,31,154,29,3,19,4,7,3,7,10,5,16,1314,263,556,677,1761,331,312,680,1288,56,147,768,388,1148,1407,396,119,1063,1080,1401,511,173,258,20,217,37,24056,40,4,3107,1096,0.352752,109,28.5046,24035,7.73576,243,91,32,24,12,12,9,20,3,0,278,786,202,80,80,6,0,122,48,80
Anti-extremist,0,32,1,43,204,38,23,4,14,8,6,8,6,6,12,1717,351,583,920,2309,473,383,973,1602,64,203,1010,522,1436,1718,390,198,1318,1356,1799,715,210,412,28,369,38,30030,40,4,4242,1313,0.309524,144,29.4583,30009,7.07426,182,95,29,28,16,16,9,33,2,0,286,602,190,176,176,4,0,126,110,80
Anti-extremist,0,26,1,32,145,27,3,3,13,9,4,8,7,4,11,1492,263,626,782,1956,411,345,855,1499,56,154,899,452,1267,1562,412,172,1201,1142,1582,615,207,258,31,268,45,26903,40,4,3495,1218,0.348498,99,35.303,26862,7.68584,229,64,50,19,9,9,9,20,0,0,190,736,208,46,46,0,0,226,68,136
Anti-extremist,0,32,40,146,28,3,3,17,4,9,6,9,7,4,13,1357,259,535,685,1891,366,333,659,1355,53,139,802,422,1229,1456,379,128,1118,1111,1512,540,175,256,19,211,41,24554,40,4,3184,1140,0.35804,100,31.84,24527,7.7032,252,91,33,22,9,9,6,18,1,1,238,828,206,42,42,2,2,134,38,96
Anti-extremist,0,35,40,164,33,3,3,3,23,16,8,10,9,7,20,1457,282,600,727,1966,384,351,730,1436,58,156,881,452,1259,1466,430,120,1167,1151,1510,564,189,272,21,238,37,26148,40,4,3417,1202,0.351771,106,32.2358,26127,7.64618,262,80,36,20,8,8,10,24,1,0,230,778,198,34,34,4,0,148,68,96
Anti-extremist,0,37,43,202,34,3,3,20,4,13,10,12,10,6,20,1766,307,703,905,2321,451,457,922,1679,66,192,1018,503,1510,1812,500,188,1401,1390,1882,723,232,336,24,308,43,30446,40,4,4078,1422,0.3487,131,31.1298,30425,7.46077,252,100,39,24,11,11,9,31,2,0,274,742,194,72,72,6,0,166,72,104
Anti-extremist,0,29,1,29,141,28,3,3,21,9,3,7,7,6,18,1267,230,543,646,1681,330,319,686,1263,55,159,781,407,1065,1342,342,120,1038,1028,1378,527,174,237,23,232,39,23296,40,4,2980,1077,0.361409,97,30.7216,23263,7.80638,274,99,34,22,10,10,9,14,1,0,284,812,196,50,50,2,0,132,38,104
Anti-extremist,0,28,1,31,147,25,3,3,19,9,4,9,8,4,16,1340,287,549,675,1828,340,335,689,1381,54,160,814,408,1155,1455,382,129,1089,1132,1488,565,197,266,34,231,37,24857,40,4,3227,1128,0.349551,99,32.596,24836,7.69631,223,103,34,26,13,13,8,22,3,0,294,702,184,76,76,8,0,158,62,114
